model,benchmark,n_samples,zero_shot_baseline_acc,zero_shot_acc,targeted_few_shot_answer_only_acc,random_few_shot_acc,targeted_few_shot_acc,targeted_few_shot_k5_acc,error_targeted_icl_acc,error_targeted_icl_random_acc,error_targeted_icl_correct_only_acc,self_consistency_acc,recovery_targeted_few_shot_answer_only,recovery_random_few_shot,recovery_targeted_few_shot,recovery_targeted_few_shot_k5,recovery_error_targeted_icl,recovery_error_targeted_icl_random,recovery_error_targeted_icl_correct_only,recovery_self_consistency
Llama/Llama3-2-3B,gsm_ic,200,0.17,0.815,0.825,0.855,0.805,0.81,0.76,0.81,0.79,0.91,0.595,0.703,0.622,0.622,0.486,0.541,0.541,0.676
Qwen/Qwen2-5-3B,gsm_ic,200,0.69,0.805,0.795,0.75,0.805,0.83,0.81,0.77,0.825,0.875,0.462,0.462,0.487,0.462,0.487,0.462,0.564,0.538
Qwen/Qwen2-math-1-5B,gsm_ic,200,0.855,0.87,0.87,0.835,0.84,0.87,0.855,0.88,0.845,0.89,0.269,0.192,0.269,0.346,0.308,0.308,0.269,0.269
Gemma/Gemma3-1B,gsm_plus,200,0.2,0.205,0.08,0.025,0.19,0.165,0.175,0.21,0.17,0.21,0.057,0.025,0.113,0.119,0.107,0.132,0.101,0.069
Gemma/Gemma3-4B,gsm_plus,200,0.61,0.555,0.565,0.61,0.55,0.565,0.57,0.515,0.55,0.605,0.169,0.247,0.169,0.202,0.191,0.18,0.202,0.157
Llama/Llama3-2-1-5B,gsm_plus,200,0.235,0.195,0.135,0.155,0.19,0.145,0.11,0.25,0.15,0.225,0.056,0.075,0.143,0.099,0.062,0.149,0.087,0.13
Llama/Llama3-2-3B,gsm_plus,200,0.46,0.45,0.435,0.475,0.465,0.41,0.445,0.475,0.425,0.56,0.191,0.209,0.218,0.173,0.2,0.209,0.209,0.264
Qwen/Qwen2-5-3B,gsm_plus,200,0.425,0.42,0.57,0.515,0.51,0.54,0.52,0.545,0.515,0.535,0.371,0.319,0.328,0.345,0.302,0.328,0.302,0.284
Qwen/Qwen2-math-1-5B,gsm_plus,200,0.53,0.52,0.55,0.51,0.56,0.53,0.545,0.555,0.525,0.585,0.167,0.167,0.229,0.167,0.188,0.198,0.188,0.219
Gemma/Gemma3-1B,gsm_symbolic,200,0.175,0.185,0.185,0.13,0.13,0.17,0.15,0.14,0.155,0.26,0.153,0.117,0.104,0.098,0.092,0.117,0.092,0.166
Gemma/Gemma3-4B,gsm_symbolic,200,0.7,0.685,0.63,0.61,0.635,0.7,0.585,0.61,0.66,0.665,0.222,0.238,0.206,0.333,0.159,0.238,0.286,0.095
Llama/Llama3-2-1-5B,gsm_symbolic,200,0.185,0.05,0.195,0.12,0.15,0.13,0.205,0.2,0.215,0.195,0.184,0.105,0.137,0.121,0.195,0.189,0.211,0.189
Llama/Llama3-2-3B,gsm_symbolic,200,0.57,0.62,0.55,0.43,0.595,0.56,0.475,0.43,0.48,0.66,0.434,0.395,0.474,0.434,0.303,0.303,0.355,0.487
Qwen/Qwen2-5-3B,gsm_symbolic,200,0.45,0.25,0.485,0.37,0.44,0.405,0.345,0.46,0.275,0.415,0.427,0.287,0.413,0.447,0.373,0.427,0.3,0.353
Qwen/Qwen2-5-3B,gsm_symbolic,200,0.51,0.395,0.58,0.695,0.51,0.42,0.615,0.52,0.585,0.59,0.562,0.678,0.438,0.388,0.612,0.43,0.612,0.479
Qwen/Qwen2-math-1-5B,gsm_symbolic,200,0.68,0.71,0.7,0.805,0.68,0.695,0.63,0.63,0.655,0.765,0.207,0.655,0.224,0.293,0.155,0.138,0.241,0.293
