family,condition,clean_benchmark,benchmark,clean_accuracy,benchmark_accuracy,robustness_ratio
qwen,targeted_few_shot,gsm8k,bigbench_hard,0.74,0.675,0.9121621621621623
qwen,targeted_few_shot,gsm8k,bigbench_hard_tracking,0.74,0.63,0.8513513513513513
qwen,targeted_few_shot,gsm8k,folio,0.74,0.7103825136612022,0.9599763698124354
qwen,targeted_few_shot_answer_only,gsm8k,gsm_symbolic,0.845,0.625,0.7396449704142012
qwen,targeted_few_shot_answer_only,gsm8k,gsm_plus,0.845,0.585,0.6923076923076923
qwen,targeted_few_shot_answer_only,gsm8k,gsm_ic,0.845,0.8,0.9467455621301776
qwen,targeted_few_shot_answer_only,gsm8k,bigbench_hard,0.845,0.595,0.7041420118343196
qwen,targeted_few_shot_answer_only,gsm8k,bigbench_hard_tracking,0.845,0.72,0.8520710059171598
qwen,targeted_few_shot_answer_only,gsm8k,folio,0.845,0.6775956284153005,0.8018883176512432
qwen,targeted_few_shot_k5,gsm8k,gsm_symbolic,0.76,0.66,0.868421052631579
qwen,targeted_few_shot_k5,gsm8k,gsm_plus,0.76,0.51,0.6710526315789473
qwen,targeted_few_shot_k5,gsm8k,gsm_ic,0.76,0.72,0.9473684210526315
qwen,targeted_few_shot_k5,gsm8k,bigbench_hard,0.76,0.72,0.9473684210526315
qwen,targeted_few_shot_k5,gsm8k,bigbench_hard_tracking,0.76,0.67,0.8815789473684211
qwen,targeted_few_shot_k5,gsm8k,folio,0.76,0.7158469945355191,0.9419039401783147
qwen,zero_shot,gsm8k,gsm_symbolic,0.6,0.535,0.8916666666666667
qwen,zero_shot,gsm8k,gsm_plus,0.6,0.38,0.6333333333333334
qwen,zero_shot,gsm8k,gsm_ic,0.6,0.545,0.9083333333333334
qwen,zero_shot,gsm8k,bigbench_hard,0.6,0.56,0.9333333333333335
qwen,zero_shot,gsm8k,bigbench_hard_tracking,0.6,0.625,1.0416666666666667
qwen,zero_shot,gsm8k,folio,0.6,0.6830601092896175,1.138433515482696
qwen,zero_shot_baseline,gsm8k,gsm_symbolic,0.36,0.83,2.3055555555555554
qwen,zero_shot_baseline,gsm8k,gsm_plus,0.36,0.49,1.3611111111111112
qwen,zero_shot_baseline,gsm8k,gsm_ic,0.36,0.34,0.9444444444444445
qwen,zero_shot_baseline,gsm8k,bigbench_hard,0.36,0.57,1.5833333333333333
qwen,zero_shot_baseline,gsm8k,bigbench_hard_tracking,0.36,0.805,2.236111111111111
qwen,zero_shot_baseline,gsm8k,folio,0.36,0.726775956284153,2.018822100789314
